sample_ID1	sample_ID2	Total_cM	Segment_Count
NA18488	NA18517	4.026	1
NA18488	NA18520	4.025	1
NA18488	NA18521	8.497	2
NA18488	NA18522	4.026	1
NA18488	NA18855	2.127	1
NA18488	NA18856	4.441	1
NA18488	NA18857	4.025	1
NA18488	NA18859	4.026	1
NA18488	NA18863	4.025	1
NA18488	NA18865	4.025	1
NA18488	NA18867	4.026	1
NA18488	NA18868	4.026	1
NA18488	NA18869	6.09	2
NA18488	NA18872	4.026	1
NA18488	NA18873	4.026	1
NA18488	NA18874	4.025	1
NA18488	NA18875	4.026	1
NA18488	NA18876	4.432	1
NA18488	NA18877	4.026	1
NA18488	NA18879	4.026	1
NA18488	NA18909	2.048	1
NA18488	NA18911	4.025	1
NA18488	NA18913	3.937	1
NA18488	NA18916	6.549	2
NA18488	NA18917	4.025	1
NA18488	NA18924	4.026	1
NA18488	NA18925	4.026	1
NA18488	NA18930	4.586	2
NA18488	NA18935	2.061	1
NA18488	NA19095	4.027	1
NA18488	NA19097	4.026	1
NA18488	NA19099	6.479	1
NA18488	NA19100	4.025	1
NA18488	NA19103	4.025	1
NA18488	NA19107	4.026	1
NA18488	NA19108	4.026	1
NA18488	NA19109	4.026	1
NA18488	NA19113	4.026	1
NA18488	NA19115	4.026	1
NA18488	NA19117	4.026	1
NA18488	NA19119	7.793	1
NA18488	NA19120	4.176	1
NA18488	NA19121	2.732	1
NA18488	NA19127	6.502	2
NA18488	NA19128	3.279	1
NA18488	NA19129	2.477	1
NA18488	NA19130	4.432	1
NA18488	NA19131	4.432	1
NA18488	NA19132	4.433	1
NA18488	NA19137	15.576	4
NA18488	NA19139	6.537	2
NA18488	NA19141	4.025	1
NA18488	NA19142	4.025	1
NA18488	NA19143	4.025	1
NA18488	NA19144	4.026	1
NA18488	NA19145	4.025	1
NA18488	NA19146	4.026	1
NA18488	NA19148	4.026	1
NA18488	NA19151	4.026	1
NA18488	NA19152	4.026	1
NA18488	NA19153	8.459	2
NA18488	NA19154	8.468	2
NA18488	NA19159	2.056	1
NA18488	NA19160	10.475	3
NA18488	NA19161	10.04	3
NA18488	NA19171	4.026	1
NA18488	NA19174	4.026	1
NA18488	NA19176	2.059	1
NA18488	NA19184	4.026	1
NA18488	NA19186	4.025	1
NA18488	NA19189	4.025	1
NA18488	NA19190	4.026	1
NA18488	NA19191	4.026	1
NA18488	NA19198	2.512	1
NA18488	NA19199	2.512	1
NA18488	NA19203	3.937	1
NA18488	NA19204	2.739	1
NA18488	NA19205	2.865	1
NA18488	NA19208	4.025	1
NA18488	NA19209	4.025	1
NA18488	NA19210	4.025	1
NA18488	NA19211	6.089	2
NA18488	NA19213	6.061	2
NA18488	NA19214	4.027	1
NA18488	NA19215	4.027	1
NA18488	NA19221	4.025	1
NA18488	NA19237	4.026	1
NA18488	NA19248	10.593	3
NA18488	NA19249	4.025	1
NA18488	NA19256	8.46	2
NA18488	NA19258	4.026	1
NA18489	NA18485	564.305	151
NA18489	NA18497	4.142	1
NA18489	NA18498	4.1	1
NA18489	NA18499	5.691	1
NA18489	NA18511	10.212	2
NA18489	NA18519	4.091	1
NA18489	NA18520	7.094	2
NA18489	NA18858	4.466	1
NA18489	NA18859	2.179	1
NA18489	NA18860	4.469	1
